EVENT_ID,CATEGORY,DISTRICT,TITLE,START_DATE,END_DATE,PLACE,LATITUDE,LONGITUDE,ORGANIZATION,SUBJECT,IS_FREE,URL,REGISTERED
155545,축제-기타,마포구,잔다리 페스타 2025,2025-10-17,2025-10-19,"홍대 상상마당 건너편 레드로드 R5 구역, 무신사 개러지, Club FF, 클럽 온에어 등",126.921038579505,37.5506535018717,기타,시민,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155545&menuNo=200010,2025-10-15
155314,축제-문화/예술,용산구,2025 서울전통춤문화제,2025-10-17,2025-10-18,노들섬 잔디마당 및 라이브하우스,126.958036465507,37.5176638307111,노들섬,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155314&menuNo=200010,2025-09-23
155286,무용,노원구,창작발레 [안네프랑크],2025-10-17,2025-10-18,노원문화예술회관 대공연장,127.080267103033,37.6502368524442,기타,시민,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155286&menuNo=200008,2025-09-19
155036,교육/체험,중구,[DDP] 서울디자인위크 콘퍼런스 [얼리버드 티켓 오픈],2025-10-17,2025-10-18,DDP 디자인랩 3F 디자인홀,127.00977973484339,37.56735731522952,동대문디자인플라자(DDP),기관,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155036&menuNo=200011,2025-09-01
155326,교육/체험,강서구,[강연] 이탈리아 디자인은 왜 예술이 되었는가?,2025-10-17,2025-10-17,예스24 강서NC점 ,126.840498784915,37.559933531546,기타,시민,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155326&menuNo=200011,2025-09-24
155548,교육/체험,중구,[서울 문화의 밤] 10월 방구석 북토크 - 그때 그 시절 그 노래 1(장유정),2025-10-17,2025-10-17, 서울도서관 1층 생각마루,126.977829174031,37.5663174209601,서울도서관,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155548&menuNo=200011,2025-10-15
155481,교육/체험,종로구,[운현궁] 2025 운현궁 흥선대원군의 초대 [운현유람기] 10월,2025-10-17,2025-10-17,운현궁 일원,126.98708335796199,37.57607864675475,운현궁,기관,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155481&menuNo=200011,2025-10-12
155462,교육/체험,마포구,홍익대학교 핸드볼부 [생활체육클래스],2025-10-17,2025-10-17,홍익대학교 체육관,126.924990619497,37.5525192523979,기타,시민,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155462&menuNo=200011,2025-10-09
155239,국악,종로구,[세종문화회관] 2025 대한민국국악관현악축제_국립국악원 창작악단,2025-10-17,2025-10-17,세종M씨어터,126.9760053,37.5726241,세종문화회관,기관,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155239&menuNo=200008,2025-09-17
154953,무용,마포구,"[마포문화재단] 2025 M 댄스 페스티벌 [고상지x오은철과 함께하는 탱고, 매혹 2025]",2025-10-17,2025-10-17,마포아트센터 아트홀맥,126.945533810385,37.5499060881738,마포문화재단,기관,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154953&menuNo=200008,2025-08-26
